estado,cidade,n_pedidos
SP,osasco,746
MG,itapecerica,13
ES,nova venecia,19
MG,mendonca,1
SP,sao paulo,15540
SP,valinhos,183
RJ,niteroi,849
RJ,rio de janeiro,6882
RS,ijui,52
MG,oliveira,22
RS,novo hamburgo,123
BA,vitoria da conquista,92
SP,campinas,1444
SP,jacarei,194
RS,colorado,3
RS,frederico westphalen,14
SP,piracaia,22
CE,parambu,4
MG,uberlandia,374
RS,porto alegre,1379
SP,ibiuna,31
MG,belo horizonte,2773
SP,sao jose dos campos,691
RJ,mage,111
PR,curitiba,1521
SP,santo andre,796
SP,pirassununga,69
SP,guaruja,226
SP,cotia,250
MS,campo grande,320
SP,campos do jordao,26
PB,joao pessoa,256
SP,itupeva,44
SC,agronomica,2
MG,sobralia,1
SC,chapeco,103
SP,aguai,10
SP,biritiba-mirim,10
RJ,rio das ostras,137
MG,bueno brandao,4
BA,itacare,8
SP,sao manuel,21
PB,cabedelo,7
SP,jundiai,565
MG,juiz de fora,427
SP,sao bernardo do campo,938
SP,ribeirao preto,510
PR,ponta grossa,143
RJ,itaborai,60
RS,sapiranga,26
RS,caxias do sul,224
MS,tres lagoas,42
PR,corbelia,3
RJ,mesquita,75
SP,capao bonito,28
CE,fortaleza,654
BA,salvador,1245
SC,tijucas,30
SP,monte mor,40
SP,cacapava,74
SP,atibaia,159
MG,betim,203
PR,palmeira,13
PR,paranavai,47
MT,cuiaba,248
PR,nova esperanca,8
SP,jaboticabal,54
MG,guimarania,4
SP,bertioga,49
MT,pedra preta,4
PA,belem,443
SP,indiana,3
SP,mogi das cruzes,383
MG,varginha,89
MT,diamantino,7
SC,santa cecilia,6
ES,serra,285
SP,maua,323
RS,canela,18
BA,mascote,2
BA,trancoso,6
MG,montalvania,3
RS,julio de castilhos,10
SP,aruja,69
RN,mossoro,37
PI,teresina,281
SP,sumare,183
PR,maringa,271
DF,brasilia,2131
MG,coromandel,25
RJ,nova friburgo,152
RS,estrela,16
SP,botucatu,101
PR,quatro barras,18
SC,criciuma,93
PA,altamira,25
RS,passo fundo,113
PR,ampere,9
SP,ibate,13
ES,vitoria,379
SC,itajai,120
MG,tres coracoes,43
SC,florianopolis,570
SP,bauru,273
MG,alvinopolis,11
SP,paulinia,130
RJ,campos dos goytacazes,238
SP,suzano,234
MG,machado,21
SP,marilia,196
GO,goiania,692
RS,dom pedrito,10
SP,tremembe,38
RJ,sapucaia,5
MG,extrema,40
PE,cabo de santo agostinho,21
SP,carapicuiba,328
RO,seringueiras,2
PE,recife,613
MG,ouro fino,16
MA,cedral,3
SP,indaiatuba,280
RJ,vassouras,37
GO,jatai,54
MG,morada nova de minas,3
RJ,petropolis,240
SP,cerquilho,30
RS,santiago,26
GO,posse,17
SC,joinville,264
RS,sao leopoldo,105
SP,louveira,44
PR,cascavel,148
MA,sao jose de ribamar,14
SP,vargem grande paulista,44
RS,rosario do sul,14
BA,jacobina,24
RJ,sao pedro da aldeia,46
GO,itumbiara,36
SP,santos,713
SP,votorantim,85
SE,ribeiropolis,1
SP,cruzalia,3
MG,itajuba,94
SP,tatui,75
RO,porto velho,113
SC,porto belo,9
MG,carmo do rio claro,9
AM,manaus,140
SP,matao,52
PI,cocal,8
MG,montes claros,211
MG,arapora,5
RS,erechim,58
SP,boituva,50
RJ,nova iguacu,442
MG,sao jose do divino,1
SP,rio claro,154
MG,contagem,426
MG,pedro leopoldo,40
MT,lucas do rio verde,24
SP,ubatuba,76
RJ,marica,139
BA,tanque novo,3
PR,castro,22
PE,itapissuma,3
GO,aguas lindas de goias,24
MG,santa luzia,93
SP,aparecida,25
MA,sao luis,353
PR,colombo,62
PR,prudentopolis,7
SP,franco da rocha,109
SP,caieiras,102
SP,embu das artes,165
SP,itaquaquecetuba,172
ES,cachoeiro de itapemirim,122
SP,santa cruz das palmeiras,9
RS,nova alvorada,3
MG,visconde do rio branco,19
RJ,cachoeiras de macacu,21
MG,governador valadares,141
RS,coxilha,2
ES,linhares,65
MG,divinopolis,137
MG,ouro branco,41
PR,londrina,306
MG,alpinopolis,7
SP,sao jose do rio preto,335
RJ,queimados,54
MG,sao pedro dos ferros,4
SP,varzea paulista,80
BA,ipiau,8
RS,cruz alta,33
PE,catende,7
SC,rio do sul,35
MT,tapurah,1
SP,praia grande,311
RJ,sao goncalo,409
AL,maceio,247
MG,santo antonio do amparo,4
SP,franca,161
RS,uruguaiana,48
MG,araxa,78
TO,palmas,91
SP,limeira,190
SP,guarulhos,1189
RN,natal,207
SC,orleans,8
MG,uba,53
SP,birigui,79
MG,guaxupe,37
GO,catalao,34
PA,santarem,44
MT,caceres,25
RS,carlos barbosa,20
SP,rio grande da serra,26
SP,santa gertrudes,12
SP,santa barbara d'oeste,119
SP,pindamonhangaba,101
PB,itaporanga,2
GO,ipora,15
MG,santo antonio do monte,15
SP,vargem grande do sul,14
MG,uberaba,191
RJ,sao joao da barra,15
SP,barueri,433
SP,descalvado,13
SP,santo anastacio,17
SC,lages,84
RJ,macae,239
MG,santa vitoria,17
SP,adamantina,36
AC,manoel urbano,1
RJ,teresopolis,120
SP,avare,64
MG,manhuacu,65
MA,esperantinopolis,3
BA,sao felipe,2
RJ,barra mansa,123
SC,palhoca,95
SP,sao caetano do sul,277
RS,santo cristo,7
MG,pouso alegre,131
SP,diadema,286
PR,quedas do iguacu,8
SC,blumenau,188
PR,ibaiti,11
SP,cubatao,79
SP,piracicaba,369
MG,ribeirao das neves,101
PR,cornelio procopio,24
MG,sao sebastiao do maranhao,3
SP,capivari,35
RS,pelotas,186
SP,taboao da serra,296
MG,eloi mendes,10
BA,abrantes,2
SP,mirassol,29
SP,sao simao,10
MA,acailandia,7
SP,mogi mirim,76
SP,sao vicente,163
SP,americana,224
SP,sao carlos,236
PR,rio negro,15
BA,lauro de freitas,75
MA,chapadinha,3
MG,pimenta,2
PR,sao jose dos pinhais,133
SP,araraquara,155
SP,santo antonio do aracangua,1
CE,ico,8
BA,monte santo,1
CE,milagres,2
MA,caxias,16
SP,sorocaba,633
RJ,duque de caxias,266
SC,penha,17
RS,sao lourenco do sul,14
RS,capao do cipo,3
MT,sorriso,20
MT,barra do garcas,25
SP,maristela,4
SP,aguas de lindoia,23
MG,sete lagoas,128
RS,alvorada,50
SC,gaspar,30
MG,dom silverio,4
RS,sarandi,5
SP,americo brasiliense,17
SP,amparo,67
RS,rio grande,125
SP,paraguacu paulista,20
PR,campo largo,37
PI,campo maior,7
RN,caico,10
RS,santo augusto,9
SC,camboriu,28
ES,vila velha,334
MG,perdizes,8
SE,aracaju,225
SP,taubate,270
AL,maravilha,2
MG,sabinopolis,6
SC,xanxere,29
SP,embu-guacu,46
RJ,volta redonda,232
MG,araguari,54
PE,petrolina,65
PR,irati,22
MT,nova xavantina,10
SP,borborema,9
SP,ituverava,30
SP,francisco morato,100
SP,ilha comprida,4
MG,caete,27
SP,sao sebastiao,60
SP,jaguariuna,62
SP,pereira barreto,19
PR,jandaia do sul,8
AL,arapiraca,29
GO,anapolis,113
RS,tucunduva,3
MG,bom despacho,39
PR,pinhais,69
ES,mimoso do sul,10
RS,santa maria,194
BA,santa maria da vitoria,13
MG,barbacena,80
RJ,vila muriqui,7
SC,joacaba,26
SP,santa rita d'oeste,3
RJ,sao joao de meriti,134
SP,araras,94
SP,santana de parnaiba,185
MG,alfenas,43
PE,jaboatao dos guararapes,135
PE,gravata,11
MG,alem paraiba,29
RS,santo angelo,46
RS,tres de maio,12
PA,ananindeua,88
BA,rio do pires,4
MA,imperatriz,40
RJ,vargem alegre,1
RJ,cabo frio,117
MG,conselheiro lafaiete,84
SP,ipero,18
SP,mairinque,25
SP,santa fe do sul,35
RS,canoas,210
ES,guarapari,67
PA,maraba,22
BA,paulo afonso,40
SP,sao roque,79
PR,toledo,71
MG,caetanopolis,8
RS,sao sebastiao do cai,13
SP,ribeirao pires,109
PA,garrafao do norte,3
SP,votuporanga,63
BA,irece,13
SP,miguelopolis,14
BA,eunapolis,38
SC,tubarao,60
PA,morada nova,1
SC,sao miguel do oeste,40
RS,casca,7
PB,campina grande,68
CE,eusebio,13
SP,palmeira d'oeste,5
SP,peruibe,44
SP,guaira,36
RJ,saquarema,47
SP,cajamar,101
GO,mineiros,26
SP,cosmopolis,52
SP,andradina,43
BA,ibotirama,7
RS,gravatai,112
SC,indaial,26
RS,arvorezinha,4
GO,aparecida de goiania,110
MG,rio preto,4
MG,jequitinhonha,11
RJ,tres rios,40
MG,alexandrita,1
GO,senador canedo,16
SP,conchal,19
SP,itu,136
SC,balneario camboriu,100
MG,patrocinio,47
MG,aimores,10
PR,mandaguari,18
MG,teofilo otoni,75
SP,mogi-guacu,93
ES,barra de sao francisco,10
ES,sao mateus,48
PE,limoeiro,7
SP,paraibuna,10
PR,missal,7
PA,xinguara,9
PR,apucarana,52
MG,rio acima,8
MG,jacutinga,18
PA,santana do araguaia,3
MS,amambai,6
SC,jaragua do sul,89
SP,presidente prudente,161
ES,cariacica,139
MG,perdoes,9
BA,barreiras,52
CE,solonopole,2
PR,itaperucu,4
SP,potirendaba,9
PR,goioere,11
MS,corumba,28
SP,serra negra,14
RJ,santo antonio de padua,32
RN,parnamirim,59
SP,braganca paulista,146
SC,mafra,28
BA,camacari,61
SP,juquitiba,21
SP,monte alto,34
RN,macau,5
SP,igarapava,7
MG,ipatinga,171
MG,sao joao del rei,67
PE,caruaru,64
MG,carandai,11
MG,para de minas,37
MT,nova guarita,1
GO,buriti alegre,1
SP,guaratingueta,98
SP,termas de ibira,1
BA,candeias,13
MA,olho d'agua das cunhas,2
MS,paranaiba,15
MG,passos,43
MG,patos de minas,100
PR,pirai do sul,7
RS,esteio,41
MG,sao joao do manteninha,3
SP,sao joao da boa vista,82
SC,biguacu,25
SP,lindoia,9
MG,lagoa da prata,11
SC,brusque,60
RS,capao da canoa,38
MG,itauna,57
SP,poa,85
SP,fernandopolis,53
SP,itapevi,170
BA,feira de santana,185
MT,araputanga,4
MT,primavera do leste,28
MG,fonseca,1
RS,carazinho,24
MG,campo belo,21
BA,itambe,3
PR,pato branco,53
MG,caxambu,17
SP,taquarituba,16
PE,vitoria de santo antao,15
MG,moeda,1
MG,paracatu,63
PR,colonia vitoria,5
MG,formiga,32
RS,padre gonzales,1
CE,catarina,3
RS,restinga seca,3
PR,araucaria,54
RN,extremoz,2
AP,santana,9
SP,artur nogueira,43
MG,sarzedo,18
MG,santa rita do sapucai,35
MG,sao joao nepomuceno,15
ES,arace,4
MG,virginopolis,8
SP,gaviao peixoto,2
GO,sao simao,4
MG,muzambinho,9
SC,urussanga,10
RS,alegrete,36
MG,vicosa,89
MG,manhumirim,16
SP,hortolandia,145
BA,alagoinhas,40
SC,laguna,14
SP,cruzeiro,56
MG,pocos de caldas,122
MG,joao monlevade,51
MT,matupa,7
SP,jandira,85
GO,sao miguel do araguaia,5
MG,santana do paraiso,16
MG,monte santo de minas,9
MG,monte alegre de minas,4
SC,garopaba,23
MG,ponto do marambaia,1
SC,correia pinto,11
GO,luziania,33
RS,santa cruz do sul,62
MG,espera feliz,19
PR,tibagi,4
SP,assis,84
RJ,quissama,13
MT,nortelandia,1
RS,farroupilha,28
BA,barra do mendes,3
GO,valparaiso de goias,37
BA,juazeiro,44
MG,virgem da lapa,3
MG,muriae,64
SP,itapetininga,78
RJ,paraiba do sul,18
SC,sao jose,169
MG,ipaba,8
PR,campina grande do sul,10
RJ,belford roxo,111
CE,milha,2
PR,rolandia,27
MG,nova lima,98
SP,lucelia,12
SP,monte azul paulista,19
SP,batatais,28
RS,protasio alves,2
GO,novo gama,16
RS,sao gabriel,24
BA,andorinha,5
GO,caldas novas,36
MG,tocantins,6
MG,alto rio doce,4
PR,jacarezinho,17
RS,viamao,73
SC,concordia,50
SP,pirapozinho,14
PR,mangueirinha,9
ES,piuma,17
SC,ipira,2
SP,pinhalzinho,12
CE,sao goncalo do amarante,5
CE,ipu,4
PB,sao bento,3
BA,brumado,22
BA,barra do tarrachil,3
BA,maragogipe,2
MS,chapadao do sul,14
BA,teolandia,4
SP,aracatuba,141
RO,sao francisco do guapore,2
SP,olimpia,38
MT,rondonopolis,65
SP,jau,74
SP,porto feliz,22
RS,montenegro,32
PA,paragominas,19
MG,gameleiras,3
SP,palmital,18
MG,joao pinheiro,16
SP,dracena,28
SC,anita garibaldi,5
RS,aguas claras,1
SP,catanduva,75
SC,sao lourenco do oeste,11
SP,botelho,1
SC,itaiopolis,8
PR,jaguapita,1
RS,garibaldi,10
MG,camanducaia,9
SP,guaracai,5
SP,vinhedo,95
MS,rio negro,1
MG,sao sebastiao do paraiso,36
BA,paripiranga,2
PA,jacunda,6
BA,itabuna,62
SP,mogi-mirim,2
GO,parauna,4
SP,pedreira,36
RS,cachoeira do sul,32
MG,matias barbosa,13
SP,barretos,73
MG,santana do manhuacu,3
MG,lavras,83
SP,mairipora,75
SP,colina,9
PE,serra talhada,10
GO,jaragua,7
SP,santa isabel,30
SP,tres fronteiras,5
MG,salinas,22
MG,campanha,7
CE,forquilha,4
SP,viradouro,18
TO,aparecida do rio negro,1
MG,cristais,3
SP,jumirim,3
SP,bastos,17
MA,alto parnaiba,5
SP,piquete,9
SP,luis antonio,7
MG,coronel fabriciano,41
SP,salto,95
SP,redencao da serra,1
BA,pojuca,13
SP,pongai,4
MG,sao joao do oriente,2
PI,sao joao do piaui,6
SP,campo limpo paulista,48
SC,campos novos,14
SC,balneario picarras,10
RJ,rio das flores,6
RJ,aperibe,13
PE,camaragibe,35
SP,cravinhos,24
ES,guacui,16
RJ,conceicao de macabu,13
SP,oriente,3
MG,ituiutaba,56
SP,presidente venceslau,26
RJ,barra do pirai,54
RS,lajeado,50
MG,sabara,42
SP,cunha,15
RS,taquara,21
RJ,araruama,77
SP,ibirarema,5
RS,nova bassano,4
MG,itapeva,5
CE,bela cruz,4
ES,colatina,65
TO,sitio novo do tocantins,2
RS,tramandai,25
SP,itapecerica da serra,98
RS,espumoso,7
SP,itajobi,10
MG,cambui,22
SP,tupa,53
SC,itapoa,9
RS,capao da porteira,2
SP,socorro,19
ES,castelo,18
BA,barra do choca,3
SP,itapira,55
CE,santana do acarau,4
BA,teixeira de freitas,29
MG,sao felix de minas,1
SP,sao lourenco da serra,12
RS,candelaria,4
ES,santa maria de jetiba,15
ES,brejetuba,1
MG,sao romao,5
RS,feliz,14
SP,nuporanga,3
PR,paranacity,3
SE,cedro de sao joao,3
MG,nacip raydan,1
MG,lagoa santa,59
MA,paco do lumiar,7
PR,uniao da vitoria,29
MG,campos altos,5
SP,barrinha,20
MA,santa ines,12
RR,boa vista,45
SC,cunha pora,5
SP,luiziania,3
BA,riacho de santana,4
SP,jarinu,19
GO,ceres,7
PR,medianeira,23
MG,tres marias,13
RJ,itaocara,16
MT,colider,8
SC,timbo,20
CE,reriutaba,3
MT,varzea grande,41
MG,itabirito,32
BA,guanambi,38
RS,portao,10
MG,unai,54
SP,bom jesus dos perdoes,18
SP,tejupa,3
RS,cachoeirinha,72
SP,guararapes,19
PR,foz do iguacu,87
GO,itaguari,1
MT,sinop,46
SC,abelardo luz,6
SP,itatiba,97
RO,pimenta bueno,8
AC,rio branco,70
MG,cachoeira da prata,2
MG,monte carmelo,24
SP,santa albertina,7
MG,congonhas,30
RS,marau,22
SC,nova trento,6
RJ,mendes,12
RN,areia branca,3
SP,lorena,83
MG,abre campo,6
RS,flores da cunha,12
SP,santa adelia,15
PR,general carneiro,5
SP,jales,30
SP,ibira,7
RS,macambara,2
SP,conchas,10
SP,holambra ii,5
PE,pesqueira,9
BA,senhor do bonfim,19
ES,sao joao de petropolis,1
RJ,ipiabas,4
PR,telemaco borba,35
SP,sertaozinho,62
PI,guadalupe,4
MG,ibirite,50
BA,joao dourado,1
ES,sooretama,5
RS,jacutinga,1
MG,riacho dos machados,3
RJ,cordeiro,24
SP,quata,13
SP,mombuca,3
PI,parnaiba,23
SC,itapema,44
AL,maragogi,5
GO,silvania,7
MG,mantena,11
SP,tabapua,12
SP,piraju,19
SC,cocal do sul,4
SP,taiuva,5
PR,laranjeiras do sul,20
MG,mariana,33
ES,marataizes,16
RO,presidente medici,2
SP,engenheiro coelho,13
PI,francisco santos,1
RS,estancia velha,20
PA,castanhal,22
SC,ararangua,18
SP,ferraz de vasconcelos,111
SP,magda,2
SP,santa rosa de viterbo,14
SP,itanhaem,80
PA,parauapebas,27
MA,cururupu,3
MG,aguas vermelhas,3
PR,matinhos,27
MG,pirapora,42
MS,coxim,11
RJ,papucaia,10
MT,alto taquari,3
CE,maracanau,35
PB,catole do rocha,6
BA,itapetinga,18
CE,barbalha,6
RS,nova araca,1
SP,santo antonio do jardim,5
PR,sarandi,19
MG,periquito,2
RN,acu,3
RS,ibiruba,21
MG,monte belo,5
MG,capelinha,20
RS,bento goncalves,56
BA,euclides da cunha,5
PI,altos,5
GO,anicuns,8
PB,guarabira,10
MG,sao joao da mata,2
PB,patos,16
MS,dourados,64
PI,floriano,18
BA,varzedo,1
RS,eldorado do sul,15
MG,serra dos aimores,5
RJ,valenca,28
BA,anguera,1
SP,bebedouro,51
DF,sobradinho,1
MA,balsas,17
MG,pains,3
SP,brotas,12
BA,dias d'avila,24
CE,redencao,5
CE,caucaia,35
PR,curiuva,4
MT,jauru,5
BA,sao miguel das matas,1
RS,vila flores,3
SP,lencois paulista,45
PR,palmas,19
SP,santa barbara d oeste,5
SC,aguas mornas,1
RS,terra de areia,5
MT,paranaita,4
PR,centenario do sul,4
RJ,barra de sao joao,13
MG,paraisopolis,15
AL,penedo,8
PR,realeza,6
MS,caarapo,4
SC,sao bento do sul,45
CE,carius,3
AL,palmeira dos indios,8
GO,iaciara,4
MG,tiros,3
SC,anchieta,3
RJ,itaperuna,47
SC,turvo,4
SC,videira,47
MG,piedade de caratinga,7
MG,barroso,11
PE,iati,3
SC,navegantes,31
MG,guanhaes,18
RJ,paracambi,35
CE,maranguape,3
MG,conselheiro pena,15
SP,sao jose do rio pardo,44
SP,garca,28
RS,sao jose do ouro,5
GO,morrinhos,14
SP,leme,50
SC,bombinhas,15
MT,pontes e lacerda,9
PE,nazare da mata,1
PE,toritama,5
RN,japi,1
PE,paulista,41
PR,cambe,27
PR,fenix,1
BA,sitio do quinto,2
SC,rodeio,7
RJ,mangaratiba,13
PR,paranagua,60
MG,abaete,12
SP,santa branca,9
CE,icapui,5
PE,palmares,9
MG,pedrinopolis,3
TO,formoso do araguaia,4
MG,cruzilia,4
SC,santa terezinha,1
MG,itanhandu,14
SP,ourinhos,80
MG,nova ponte,9
SP,sao joaquim da barra,34
MG,santos dumont,22
MG,martins soares,6
BA,ilheus,72
RJ,japeri,34
PA,breu branco,3
ES,rio bananal,4
SP,valentim gentil,3
SE,nossa senhora da gloria,2
SP,charqueada,10
MG,divino,14
SP,orlandia,29
MT,mirassol d'oeste,14
PR,cidade gaucha,5
SP,cesario lange,13
RS,bom retiro do sul,3
MG,malacacheta,7
SP,quadra,3
SP,penapolis,37
MT,juina,17
BA,santa cruz cabralia,5
SP,taquaritinga,33
ES,anchieta,14
SC,imbuia,4
PE,olinda,93
MA,maracacume,4
PR,francisco beltrao,52
SP,casa branca,13
RS,osorio,35
GO,alvorada do norte,3
PR,umuarama,41
ES,baixo guandu,8
SP,rancharia,22
PA,moju,4
MG,itamonte,10
PR,colonia castrolanda,3
MA,fortuna,3
PE,ipojuca,17
MG,capetinga,2
PR,amapora,2
MG,curvelo,44
SE,estancia,9
SP,nova odessa,38
ES,ibatiba,9
RN,vila flor,1
SC,benedito novo,6
PA,tailandia,4
MG,bandeira,3
PR,primeiro de maio,7
RS,vitoria das missoes,1
MG,santa barbara,26
SC,cerro negro,1
SP,pradopolis,10
GO,cidade ocidental,8
DF,taguatinga,4
MG,chale,2
PI,ilha grande,1
SP,presidente epitacio,23
RS,bage,65
RS,maximiliano de almeida,3
BA,milagres,2
RJ,nilopolis,107
SC,xaxim,10
RS,sao jose do hortencio,2
MG,tres pontas,20
SC,capinzal,10
RJ,resende,117
SP,porto ferreira,28
RS,tapes,6
SP,lins,55
SP,candido mota,16
GO,alexania,5
RJ,pirai,16
BA,nazare,4
MG,resende costa,3
SE,lagarto,11
SP,mongagua,42
SC,taio,15
MG,ponte nova,41
SP,quintana,4
RS,itaqui,9
CE,lagoa do mato,1
RJ,angra dos reis,85
PB,mamanguape,6
ES,mantenopolis,4
SP,sao francisco,2
MG,goiana,4
SP,buri,10
GO,porangatu,13
BA,luis eduardo magalhaes,36
MS,jardim,3
PE,tuparetama,3
ES,vila valerio,8
SP,cajobi,8
RN,vera cruz,1
GO,rio verde,66
RS,nova petropolis,8
MG,diamantina,27
ES,aracruz,41
MG,tombos,5
RN,pedro velho,1
RS,roque gonzales,5
SC,fraiburgo,15
SC,zortea,2
RJ,engenheiro passos,2
MG,pitangui,22
BA,sao domingos,3
PR,jundiai do sul,3
MG,ouro preto,57
GO,goianapolis,4
MG,coluna,3
SP,candido rodrigues,4
AP,macapa,54
SP,fernao,1
SP,jardinopolis,13
PR,marilandia do sul,1
RJ,cantagalo,17
PI,isaias coelho,1
RS,dona francisca,2
MG,jaiba,6
CE,quixeramobim,6
GO,edeia,4
SC,trombudo central,5
BA,apuarema,1
RS,nova hartz,3
ES,ponto belo,1
SP,registro,50
PR,santa cruz de monte castelo,4
GO,chapadao do ceu,8
MG,frutal,26
PR,siqueira campos,9
SP,divinolandia,7
MS,sao gabriel do oeste,7
PE,bom conselho,7
PR,jaguariaiva,19
MG,medina,6
MG,lambari,8
PE,lajedo,7
CE,crateus,9
RS,acegua,2
RN,pau dos ferros,9
SP,tambau,20
PE,rio formoso,2
CE,pacajus,6
MG,campina verde,10
CE,paracuru,5
SP,itapeva,53
SP,pariquera-acu,15
RJ,bom jesus do itabapoana,21
PR,nova santa rosa,4
MG,jordania,5
MG,congonhal,4
MG,belo vale,3
CE,croata,1
PB,esperanca,6
SP,fernando prestes,6
PR,cafelandia,13
MG,monte formoso,2
SP,ouroeste,11
GO,vicentinopolis,2
MG,sao jose da lapa,8
RO,ariquemes,13
MG,rio paranaiba,9
MG,cristalia,3
BA,catu de abrantes,2
CE,itapipoca,11
RS,serafina correa,9
MA,bacabal,11
MG,caratinga,62
MT,barra do bugres,4
PR,paicandu,10
CE,cruz,7
RS,campo bom,36
RS,sao luiz gonzaga,15
SC,praia grande,4
SP,bariri,15
SP,boa esperanca do sul,11
ES,itaipava,4
SP,barra bonita,29
AL,anadia,2
BA,mutuipe,4
SC,quilombo,4
SP,salesopolis,10
SP,paulo de faria,5
MG,novo cruzeiro,9
MG,aguas formosas,5
RS,camaqua,13
SC,papanduva,8
RJ,sao jose do vale do rio preto,12
RJ,seropedica,33
PA,quatro bocas,5
SP,castilho,11
MG,mar de espanha,9
RO,nova mamore,2
PR,nova londrina,9
SP,presidente bernardes,6
PA,igarape-acu,1
RS,ronda alta,6
MT,agua boa,18
MG,aracitaba,2
MA,coelho neto,4
RS,arroio do sal,8
RS,ibiaca,2
PR,chopinzinho,4
MG,sao goncalo do sapucai,10
MG,sao goncalo do rio das pedras,1
MA,cantanhede,1
PR,santo antonio da platina,12
SC,braco do norte,20
PR,campo mourao,56
BA,caravelas,3
PE,surubim,5
GO,cacu,8
RJ,japuiba,5
ES,jeronimo monteiro,2
MG,claudio,22
SP,macedonia,4
MS,nova alvorada do sul,3
SC,palmitos,5
RS,palmeira das missoes,16
MG,guaranesia,9
TO,parana,2
PA,rio maria,3
PR,japira,3
PR,santa helena,9
MG,felicio dos santos,1
BA,prado,5
MG,nova serrana,51
MT,vera,3
